rep,site,site_code,date,microsite_number,microsite,shrub_ID,shrub_number,total_shrub,microsite_lat,microsite_long,shrub_lat,shrub_long,x,y,z,ground_temp,RH,handheld_temp,camera1_lat,camera1_long,camera2_lat,camera2_long,pendant1_lat,pendant1_long,pendant2_lat,pendant2_long,,
538,Mojave,Tecopa_shrub,05/22/2023,1,Density,94,1,10,35.85266,-116.18361,35.85288,-116.18394,68,63,110,29.06,31.1,33.8,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,17990,18234
539,Mojave,Tecopa_shrub,05/22/2023,1,Density,95,2,10,35.85266,-116.18361,35.85284,-116.18388,200,163,198,29.5,31,33.2,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
540,Mojave,Tecopa_shrub,05/22/2023,1,Density,96,3,10,35.85266,-116.18361,35.85284,-116.18385,250,232,237,29.61,31,31.4,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
541,Mojave,Tecopa_shrub,05/22/2023,1,Density,97,4,10,35.85266,-116.18361,35.85281,-116.18369,84,80,72,29.89,30.9,31.9,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
542,Mojave,Tecopa_shrub,05/22/2023,1,Density,98,5,10,35.85266,-116.18361,35.8528,-116.18368,65,61,90,29,30.8,31.1,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
543,Mojave,Tecopa_shrub,05/22/2023,1,Density,99,6,10,35.85266,-116.18361,35.85278,-116.18374,77,65,69,29.94,31,32.1,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
544,Mojave,Tecopa_shrub,05/22/2023,1,Density,100,7,10,35.85266,-116.18361,35.85269,-116.18375,82,73,79,31.39,30,33.2,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
545,Mojave,Tecopa_shrub,05/22/2023,1,Density,101,8,10,35.85266,-116.18361,35.85268,-116.18375,103,99,85,30.89,29.5,34.5,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
546,Mojave,Tecopa_shrub,05/22/2023,1,Density,102,9,10,35.85266,-116.18361,35.85274,-116.18382,79,59,64,30.89,29.5,32.6,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
547,Mojave,Tecopa_shrub,05/22/2023,1,Density,103,10,10,35.85266,-116.18361,35.85277,-116.18387,95,90,70,29.89,29.7,33,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
548,Mojave,Tecopa_shrub,05/22/2023,2,Density,104,1,11,35.85282,-116.18338,35.8529,-116.18345,332,205,190,30.17,30.2,30.9,35.85289,-116.18351,35.85275,-116.18314,35.8529,-116.18345,35.85287,-116.18432,,17431
549,Mojave,Tecopa_shrub,05/22/2023,2,Density,105,2,11,35.85266,-116.18361,35.85289,-116.18333,134,126,167,30.83,30.5,30.7,35.85289,-116.18351,35.85275,-116.18314,35.8529,-116.18345,35.85287,-116.18432,,
