region,site,site_code,shrub_density,lat,long,n_shrub,shrub_ID,shrub_lat,shrub_long,x,y,z,microsite,rep
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,1,34.84867,-119.48421,310,306,133,1,1
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,2,34.84874,-119.48428,329,275,136,1,2
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,3,34.84882,-119.48426,258,208,122,1,3
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,4,34.84892,-119.48418,301,174,90,1,4
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,5,34.84894,-119.4841,236,190,117,1,5
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,6,34.84896,-119.48405,479,296,188,1,6
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,7,34.84892,-119.48399,543,358,193,1,7
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,8,34.84889,-119.48411,314,220,180,1,8
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,9,34.84882,-119.48412,287,276,132,1,9
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,10,34.84882,-119.48399,470,387,165,1,10
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,11,34.84875,-119.48398,352,280,216,1,11
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,12,34.84874,-119.48393,332,317,162,1,12
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,13,34.84865,-119.48393,490,418,124,1,13
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,14,34.84877,-119.48405,224,183,108,1,14
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,1,34.84901,-119.48436,457,422,127,2,15
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,2,34.84911,-119.48445,404,358,148,2,16
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,3,34.84915,-119.48448,269,254,144,2,17
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,4,34.84922,-119.48441,320,287,132,2,18
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,5,34.84922,-119.48439,367,296,130,2,19
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,6,34.84929,-119.48425,410,365,144,2,20
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,7,34.84934,-119.4842,480,322,153,2,21
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,8,34.84928,-119.48416,266,233,117,2,22
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,9,34.84921,-119.48411,511,450,158,2,23
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,10,34.84917,-119.48407,356,340,130,2,24
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,11,34.84916,-119.4842,329,318,130,2,25
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,12,34.84911,-119.48419,442,383,148,2,26
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,13,34.84904,-119.48426,394,359,154,2,27
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,1,34.85431,-119.48598,339,307,144,1,28
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,2,34.85429,-119.48615,402,253,143,1,29
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,3,34.85437,-119.48611,306,273,162,1,30
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,4,34.85441,-119.48611,304,297,168,1,31
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,5,34.85447,-119.48622,420,320,158,1,32
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,6,34.85453,-119.48618,254,238,122,1,33
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,7,34.85458,-119.48613,357,356,146,1,34
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,8,34.85465,-119.48612,487,418,155,1,35
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,9,34.85471,-119.48601,337,325,160,1,36
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,10,34.8546,-119.48595,357,334,163,1,37
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,11,34.85452,-119.48598,435,419,171,1,38
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,1,34.85379,-119.48594,347,335,185,2,39
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,2,34.85368,-119.48573,376,356,169,2,40
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,3,34.85348,-119.48561,330,313,174,2,41
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,4,34.85355,-119.48567,330,295,166,2,42
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,5,34.8535,-119.48595,156,142,86,2,43
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,6,34.85362,-119.48598,235,231,146,2,44
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,7,34.85356,-119.48605,594,538,213,2,45
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,8,34.85366,-119.48608,426,381,209,2,46
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,9,34.85369,-119.48623,317,315,167,2,47
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,10,34.85381,-119.48626,167,131,97,2,48
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,11,34.85393,-119.48602,280,264,137,2,49
Cuyama,1,Cuyama_1,open,34.8482,-119.48393,,,,,,,,1,50
Cuyama,1,Cuyama_1,open,34.8482,-119.48393,,,,,,,,1,51
Cuyama,1,Cuyama_1,open,34.84853,-119.48433,,,,,,,,2,52
Cuyama,1,Cuyama_1,open,34.84853,-119.48433,,,,,,,,2,53
Cuyama,2,Cuyama_2,open,34.85491,-119.48505,,,,,,,,1,54
Cuyama,2,Cuyama_2,open,34.85491,-119.48505,,,,,,,,1,55
Cuyama,2,Cuyama_2,open,34.85442,-119.4848,,,,,,,,2,56
Cuyama,2,Cuyama_2,open,34.85442,-119.4848,,,,,,,,2,57
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,1,35.1196,-119.629,410,312,124,1,58
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,2,35.11969,-119.62907,290,257,147,1,59
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,3,35.11969,-119.6289,463,279,141,1,60
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,4,35.11967,-119.62882,243,235,119,1,61
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,5,35.11967,-119.62877,291,255,135,1,62
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,6,35.11965,-119.62871,430,243,115,1,63
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,7,35.11956,-119.62884,250,206,127,1,64
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,8,35.11949,-119.6288,314,245,124,1,65
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,9,35.11949,-119.6289,212,182,114,1,66
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,10,35.11945,-119.62898,398,281,120,1,67
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,11,35.11951,-119.62896,237,182,99,1,68
Carrizo,4,Carrizo_4,open,35.11994,-119.2885,,,,,,,,1,69
Carrizo,4,Carrizo_4,open,35.11994,-119.2885,,,,,,,,1,70
Carrizo,4,Carrizo_4,open,35.11888,-119.62764,,,,,,,,2,71
Carrizo,4,Carrizo_4,open,35.11888,-119.62764,,,,,,,,2,72
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,1,35.11931,-119.62838,330,291,140,2,73
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,2,35.11953,-119.62814,288,223,134,2,74
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,3,35.11961,-119.62805,372,250,114,2,75
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,4,35.11949,-119.62812,340,230,157,2,76
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,5,35.11948,-119.62814,285,220,179,2,77
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,6,35.11944,-119.62811,437,385,176,2,78
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,7,35.1194,-119.62821,204,186,90,2,79
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,8,35.11928,-119.62825,348,305,158,2,80
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,9,35.1193,-119.62836,347,286,112,2,81
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,10,35.1193,-119.62838,268,206,118,2,82
Carrizo,3,Carrizo_3,open,35.16239,-119.67393,,,,,,,,1,83
Carrizo,3,Carrizo_3,open,35.16239,-119.67393,,,,,,,,1,84
Carrizo,3,Carrizo_3,open,35.1626,-119.67429,,,,,,,,2,85
Carrizo,3,Carrizo_3,open,35.1626,-119.67429,,,,,,,,2,86
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,1,35.16297,-119.67397,295,205,145,1,87
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,2,35.16303,-119.67406,309,250,138,1,88
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,3,35.16304,-119.67407,348,220,145,1,89
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,4,35.16312,-119.67412,400,272,117,1,90
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,5,35.16315,-119.67398,196,101,98,1,91
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,6,35.16313,-119.67397,432,213,110,1,92
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,7,35.16315,-119.67391,331,300,122,1,93
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,8,35.16313,-119.67377,477,268,115,1,94
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,9,35.1631,-119.67376,467,204,105,1,95
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,10,35.16309,-119.67374,315,307,121,1,96
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,11,35.16299,-119.67388,539,385,131,2,97
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,1,35.16285,-119.67444,252,250,121,2,98
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,2,35.16288,-119.67448,305,201,123,2,99
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,3,35.16291,-119.67451,156,155,114,2,100
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,4,35.16292,-119.67452,233,227,150,2,101
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,5,35.16293,-119.67468,336,238,135,2,102
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,6,35.1629,-119.67468,341,252,131,2,103
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,7,35.16283,-119.67464,433,274,119,2,104
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,8,35.16283,-119.67462,237,166,104,2,105
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,9,35.16278,-119.67467,297,220,116,2,106
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,10,35.16271,-119.6747,259,235,110,2,107
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,11,35.16269,-119.67458,290,256,114,2,108
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,12,35.16273,-119.67458,380,244,109,2,109
Mojave,shrub,Tecopa,high,35.85266,-116.18361,10,1,35.85288,-116.18394,68,63,110,1,110
Mojave,shrub,Tecopa,high,35.85266,-116.18361,10,2,35.85284,-116.18388,200,163,198,1,111
Mojave,shrub,Tecopa,high,35.85266,-116.18361,10,3,35.85284,-116.18385,250,232,237,1,112
Mojave,shrub,Tecopa,high,35.85266,-116.18361,10,4,35.85281,-116.18369,84,80,72,1,113
Mojave,shrub,Tecopa,high,35.85266,-116.18361,10,5,35.8528,-116.18368,65,61,90,1,114
Mojave,shrub,Tecopa,high,35.85266,-116.18361,10,6,35.85278,-116.18374,77,65,69,1,115
Mojave,shrub,Tecopa,high,35.85266,-116.18361,10,7,35.85269,-116.18375,82,73,79,1,116
Mojave,shrub,Tecopa,high,35.85266,-116.18361,10,8,35.85268,-116.18375,103,99,85,1,117
Mojave,shrub,Tecopa,high,35.85266,-116.18361,10,9,35.85274,-116.18382,79,59,64,1,118
Mojave,shrub,Tecopa,high,35.85266,-116.18361,10,10,35.85277,-116.18387,95,90,70,1,119
Mojave,shrub,Tecopa,high,35.85282,-116.18338,11,1,35.8529,-116.18345,332,205,190,2,120
Mojave,shrub,Tecopa,high,35.85266,-116.18361,11,2,35.85289,-116.18333,134,126,167,2,121
Mojave,shrub,Tecopa,high,35.85266,-116.18361,11,3,35.85285,-116.18329,134,127,146,2,122
Mojave,shrub,Tecopa,high,35.85266,-116.18361,11,4,35.85288,-116.1833,98,90,127,2,123
Mojave,shrub,Tecopa,high,35.85266,-116.18361,11,5,35.85283,-116.18314,194,175,112,2,124
Mojave,shrub,Tecopa,high,35.85266,-116.18361,11,6,35.85272,-116.1832,148,140,114,2,125
Mojave,shrub,Tecopa,high,35.85266,-116.18361,11,7,35.85273,-116.18323,93,84,111,2,126
Mojave,shrub,Tecopa,high,35.85266,-116.18361,11,8,35.85275,-116.18326,123,108,94,2,127
Mojave,shrub,Tecopa,high,35.85266,-116.18361,11,9,35.85271,-116.1833,219,131,116,2,128
Mojave,shrub,Tecopa,high,35.85266,-116.18361,11,10,35.85284,-116.18341,192,140,125,2,129
Mojave,shrub,Tecopa,high,35.85266,-116.18361,11,11,35.85283,-116.18346,115,100,113,2,130
Mojave,shrub,Tecopa,high,35.8528,-116.18421,11,1,35.85294,-116.18427,291,247,137,3,131
Mojave,shrub,Tecopa,high,35.8528,-116.18421,11,2,35.85291,-116.1843,128,117,115,3,132
Mojave,shrub,Tecopa,high,35.8528,-116.18421,11,3,35.85288,-116.18421,128,106,122,3,133
Mojave,shrub,Tecopa,high,35.8528,-116.18421,11,4,35.85278,-116.18414,70,55,101,3,134
Mojave,shrub,Tecopa,high,35.8528,-116.18421,11,5,35.85274,-116.18415,96,62,79,3,135
Mojave,shrub,Tecopa,high,35.8528,-116.18421,11,6,35.85268,-116.18417,164,97,94,3,136
Mojave,shrub,Tecopa,high,35.8528,-116.18421,11,7,35.85269,-116.18409,101,88,69,3,137
Mojave,shrub,Tecopa,high,35.8528,-116.18421,11,8,35.85266,-116.18423,125,88,104,3,138
Mojave,shrub,Tecopa,high,35.8528,-116.18421,11,9,35.85268,-116.18422,89,80,78,3,139
Mojave,shrub,Tecopa,high,35.8528,-116.18421,11,10,35.8528,-116.18428,63,33,58,3,140
Mojave,shrub,Tecopa,high,35.8528,-116.18421,11,11,35.85287,-116.18432,95,87,111,3,141
Mojave,shrub,Tecopa,high,35.85267,-116.18457,10,1,35.85282,-116.18468,108,86,96,4,142
Mojave,shrub,Tecopa,high,35.85267,-116.18457,10,2,35.85278,-116.18451,69,63,66,4,143
Mojave,shrub,Tecopa,high,35.85267,-116.18457,10,3,35.85276,-116.18447,133,80,53,4,144
Mojave,shrub,Tecopa,high,35.85267,-116.18457,10,4,35.85263,-116.18444,153,73,78,4,145
Mojave,shrub,Tecopa,high,35.85267,-116.18457,10,5,35.85263,-116.18448,137,72,68,4,146
Mojave,shrub,Tecopa,high,35.85267,-116.18457,10,6,35.85258,-116.1845,85,64,55,4,147
Mojave,shrub,Tecopa,high,35.85267,-116.18457,10,7,35.85253,-116.18451,60,60,58,4,148
Mojave,shrub,Tecopa,high,35.85267,-116.18457,10,8,35.85265,-116.18465,103,102,73,4,149
Mojave,shrub,Tecopa,high,35.85267,-116.18457,10,9,35.85263,-116.18472,115,80,77,4,150
